product_id;Product Name;Category;Sub-Category
1;Bush Somerset Collection Bookcase;Furniture;Bookcases
2;"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";Furniture;Chairs
3;Self-Adhesive Address Labels for Typewriters by Universal;Office Supplies;Labels
4;Bretford CR4500 Series Slim Rectangular Table;Furniture;Tables
5;Eldon Fold 'N Roll Cart System;Office Supplies;Storage
6;"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood";Furniture;Furnishings
7;Newell 322;Office Supplies;Art
8;Mitel 5320 IP Phone VoIP phone;Technology;Phones
9;DXL Angle-View Binders with Locking Rings by Samsill;Office Supplies;Binders
10;Belkin F5C206VTEL 6 Outlet Surge;Office Supplies;Appliances
11;Chromcraft Rectangular Conference Tables;Furniture;Tables
12;Konftel 250 Conference phone - Charcoal black;Technology;Phones
13;Xerox 1967;Office Supplies;Paper
14;Fellowes PB200 Plastic Comb Binding Machine;Office Supplies;Binders
15;"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter";Office Supplies;Appliances
16;Storex DuraTech Recycled Plastic Frosted Binders;Office Supplies;Binders
17;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";Office Supplies;Storage
18;Fellowes Super Stor/Drawer;Office Supplies;Storage
19;Newell 341;Office Supplies;Art
20;Cisco SPA 501G IP Phone;Technology;Phones
21;"Wilson Jones Hanging View Binder, White, 1""";Office Supplies;Binders
22;Newell 318;Office Supplies;Art
23;"Acco Six-Outlet Power Strip, 4' Cord Length";Office Supplies;Appliances
24;"Global Deluxe Stacking Chair, Gray";Furniture;Chairs
25;Wilson Jones Active Use Binders;Office Supplies;Binders
26;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;Technology;Accessories
27;"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish";Furniture;Bookcases
28;Avery Recycled Flexi-View Covers for Binding Systems;Office Supplies;Binders
29;Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock;Furniture;Furnishings
30;Poly String Tie Envelopes;Office Supplies;Envelopes
31;"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain";Office Supplies;Art
32;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";Office Supplies;Binders
33;Lumber Crayons;Office Supplies;Art
34;Easy-staple paper;Office Supplies;Paper
35;GE 30524EE4;Technology;Phones
36;"Electrix Architect's Clamp-On Swing Arm Lamp, Black";Furniture;Furnishings
37;#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes;Office Supplies;Envelopes
38;"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors";Furniture;Bookcases
39;"Global Fabric Manager's Chair, Dark Gray";Furniture;Chairs
40;Plantronics HL10 Handset Lifter;Technology;Phones
41;Panasonic Kx-TS550;Technology;Phones
42;"Eldon Base for stackable storage shelf, platinum";Office Supplies;Storage
43;"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers";Office Supplies;Storage
44;"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack";Technology;Accessories
45;Wilson Jones Leather-Like Binders with DublLock Round Rings;Office Supplies;Binders
46;"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black";Office Supplies;Storage
47;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;Technology;Accessories
48;"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite";Technology;Phones
49;"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack";Office Supplies;Binders
50;Avery 485;Office Supplies;Labels
51;Longer-Life Soft White Bulbs;Furniture;Furnishings
52;"Global Leather Task Chair, Black";Furniture;Chairs
53;Advantus Push Pins;Office Supplies;Fasteners
54;AT&T CL83451 4-Handset Telephone;Technology;Phones
55;Home/Office Personal File Carts;Office Supplies;Storage
56;Xerox 232;Office Supplies;Paper
57;Novimex Turbo Task Chair;Furniture;Chairs
58;"Array Parchment Paper, Assorted Colors";Office Supplies;Paper
59;Plastic Binding Combs;Office Supplies;Binders
60;Prang Dustless Chalk Sticks;Office Supplies;Art
61;"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack";Technology;Accessories
62;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";Office Supplies;Binders
63;Xerox 1943;Office Supplies;Paper
64;Luxo Economy Swing Arm Lamp;Furniture;Furnishings
65;"Global Value Mid-Back Manager's Chair, Gray";Furniture;Chairs
66;"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige";Office Supplies;Art
67;netTALK DUO VoIP Telephone Service;Technology;Phones
68;"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate";Office Supplies;Paper
69;Avery Binding System Hidden Tab Executive Style Index Sets;Office Supplies;Binders
70;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";Office Supplies;Paper
71;High-Back Leather Manager's Chair;Furniture;Chairs
72;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";Furniture;Furnishings
73;Safco Industrial Wire Shelving System;Office Supplies;Storage
74;Economy Binders;Office Supplies;Binders
75;"6"" Cubicle Wall Clock, Black";Furniture;Furnishings
76;"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h";Office Supplies;Storage
77;"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak";Furniture;Furnishings
78;1.7 Cubic Foot Compact "Cube" Office Refrigerators;Office Supplies;Appliances
79;Avery Heavy-Duty EZD  Binder With Locking Rings;Office Supplies;Binders
80;"Premium Writing Pencils, Soft, #2 by Central Association for the Blind";Office Supplies;Art
